IDBillet;IDCanal;IDVol;TarifBase;PrixAchat;DateAchat;Classe;Status
1;32;VOL00001;569.89;569.89;27/05/2022;Affaire;Payé
2;36;VOL00001;379.93;558.93;25/06/2022;Affaire;Payé
3;5;VOL00001;379.93;278.22;28/06/2022;Eco;Payé
4;16;VOL00001;379.93;379.93;15/07/2022;Eco;Payé
5;17;VOL00001;379.93;357.29;13/07/2022;Eco;Payé
6;6;VOL00001;379.93;505.22;25/07/2022;Affaire;Payé
7;39;VOL00001;379.93;258.12;08/07/2022;Eco;Payé
8;3;VOL00001;379.93;521.93;26/07/2022;Affaire;Payé
9;13;VOL00001;379.93;491.93;02/07/2022;Affaire;Payé
10;17;VOL00001;379.93;274.58;29/06/2022;Eco;Payé
11;18;VOL00001;569.89;569.89;18/06/2022;Affaire;Payé
12;40;VOL00001;379.93;346.42;26/06/2022;Eco;Payé
13;17;VOL00001;379.93;379.93;11/07/2022;Eco;Payé
14;11;VOL00002;1063.87;833.65;16/11/2021;Eco;Payé
15;20;VOL00002;1063.87;1063.87;02/01/2022;Eco;Payé
16;27;VOL00002;1063.87;1331.87;23/12/2021;Affaire;Payé
17;33;VOL00002;1063.87;727.05;04/01/2022;Eco;Payé
18;26;VOL00002;1063.87;1063.87;15/12/2021;Eco;Payé
19;15;VOL00002;1063.87;1063.87;19/01/2022;Eco;Payé
20;21;VOL00002;1063.87;1229.87;18/12/2021;Affaire;Payé
21;8;VOL00002;1063.87;1063.87;23/01/2022;Eco;Payé
22;16;VOL00002;1063.87;969.08;02/12/2021;Eco;Payé
23;42;VOL00002;1063.87;1063.87;05/02/2022;Eco;Payé
24;17;VOL00002;1063.87;922.69;09/02/2022;Eco;Payé
25;5;VOL00002;1063.87;983.97;04/01/2022;Eco;Payé
26;35;VOL00002;1063.87;1226.76;27/11/2021;Affaire;Payé
27;35;VOL00002;1063.87;1063.87;09/12/2021;Eco;Payé
28;3;VOL00002;1063.87;1063.87;15/01/2022;Eco;Payé
29;16;VOL00002;1063.87;989.93;03/12/2021;Eco;Payé
30;1;VOL00002;1595.8;1595.8;18/01/2022;Affaire;Payé
31;28;VOL00002;1063.87;949.4;11/12/2021;Eco;Payé
32;9;VOL00002;1063.87;1063.87;04/12/2021;Eco;Payé
33;11;VOL00002;1595.8;1595.8;03/12/2021;Affaire;Payé
34;12;VOL00003;386.85;265.07;12/05/2023;Eco;Payé
35;8;VOL00003;580.27;580.27;03/05/2023;Affaire;Payé
36;19;VOL00003;386.85;386.85;22/05/2023;Eco;Payé
37;15;VOL00003;386.85;386.85;19/04/2023;Eco;Payé
38;9;VOL00003;386.85;323.21;23/06/2023;Eco;Payé
39;12;VOL00003;386.85;572.85;03/06/2023;Affaire;Payé
40;18;VOL00003;386.85;575.85;06/06/2023;Affaire;Payé
41;17;VOL00003;386.85;252.54;10/05/2023;Eco;Payé
42;1;VOL00003;386.85;386.85;10/06/2023;Eco;Payé
43;18;VOL00003;386.85;298.53;05/07/2023;Eco;Payé
44;34;VOL00003;386.85;386.85;16/06/2023;Eco;Payé
45;3;VOL00003;386.85;386.85;21/05/2023;Eco;Payé
46;30;VOL00003;386.85;464.85;25/04/2023;Affaire;Payé
47;30;VOL00004;97.46;85.76;10/02/2023;Eco;Payé
48;11;VOL00004;97.46;97.46;09/04/2023;Eco;Payé
49;7;VOL00004;146.19;146.19;25/02/2023;Affaire;Payé
50;32;VOL00004;97.46;90.94;28/02/2023;Eco;Payé
51;2;VOL00004;97.46;80.81;04/04/2023;Eco;Payé
52;21;VOL00004;97.46;97.46;14/02/2023;Eco;Payé
53;30;VOL00004;97.46;287.08;17/03/2023;Affaire;Payé
54;13;VOL00004;97.46;97.46;30/03/2023;Eco;Payé
55;10;VOL00004;97.46;97.46;01/05/2023;Eco;Payé
56;26;VOL00004;97.46;97.46;24/02/2023;Eco;Payé
57;21;VOL00004;97.46;82.85;22/02/2023;Eco;Payé
58;26;VOL00004;97.46;68.46;05/05/2023;Eco;Payé
59;5;VOL00004;97.46;154.21;05/03/2023;Affaire;Payé
60;37;VOL00004;97.46;97.46;04/04/2023;Eco;Payé
61;19;VOL00004;146.19;107.39;18/04/2023;Affaire;Payé
62;23;VOL00004;97.46;97.46;27/03/2023;Eco;Payé
63;17;VOL00004;97.46;72.65;12/03/2023;Eco;Payé
64;22;VOL00004;97.46;97.46;20/04/2023;Eco;Payé
65;27;VOL00004;97.46;97.46;05/05/2023;Eco;Payé
66;33;VOL00004;97.46;97.46;02/05/2023;Eco;Payé
67;41;VOL00005;577.78;577.78;01/01/2023;Eco;Payé
68;32;VOL00005;577.78;577.78;12/02/2023;Eco;Payé
69;13;VOL00005;577.78;858.78;17/01/2023;Affaire;Payé
70;4;VOL00005;866.67;866.67;31/12/2022;Affaire;Payé
71;42;VOL00005;866.67;866.67;09/03/2023;Affaire;Payé
72;19;VOL00005;577.78;577.78;15/03/2023;Eco;Payé
73;26;VOL00005;577.78;577.78;15/02/2023;Eco;Payé
74;16;VOL00005;577.78;381.57;14/02/2023;Eco;Payé
75;33;VOL00005;577.78;577.78;09/02/2023;Eco;Payé
76;28;VOL00005;577.78;445.93;10/02/2023;Eco;Payé
77;16;VOL00006;164.65;164.65;06/09/2022;Affaire;Payé
78;27;VOL00006;164.65;117.53;22/09/2022;Affaire;Payé
79;28;VOL00006;109.77;109.77;04/09/2022;Eco;Payé
80;21;VOL00006;109.77;109.77;17/07/2022;Eco;Payé
81;7;VOL00006;164.65;164.65;12/08/2022;Affaire;Payé
82;3;VOL00006;109.77;82.81;22/08/2022;Eco;Payé
83;23;VOL00006;109.77;212.59;26/08/2022;Affaire;Payé
84;12;VOL00006;164.65;164.65;07/08/2022;Affaire;Payé
85;35;VOL00006;164.65;164.65;28/07/2022;Affaire;Payé
86;17;VOL00006;109.77;109.77;19/07/2022;Eco;Payé
87;30;VOL00006;109.77;109.77;16/07/2022;Eco;Payé
88;11;VOL00006;109.77;109.77;20/08/2022;Eco;Payé
89;19;VOL00006;109.77;109.77;23/09/2022;Eco;Payé
90;9;VOL00006;109.77;254.77;06/08/2022;Affaire;Payé
91;12;VOL00007;775.46;629.29;12/07/2022;Eco;Payé
