id_miles,id_participant,id_vol,miles_calculé
1,1,VOL00412,13
2,1,VOL02254,11
3,1,VOL02225,11
4,1,VOL01337,25
5,1,VOL01172,20
6,1,VOL00279,16
7,2,VOL00412,13
8,2,VOL02254,11
9,2,VOL02225,11
10,2,VOL01337,25
11,2,VOL01172,20
12,2,VOL00279,16
13,2,VOL00233,20
14,2,VOL00143,23
15,2,VOL00133,18
16,2,VOL02888,18
17,2,VOL00998,15
18,3,VOL00412,26
19,3,VOL02254,22
20,3,VOL02225,22
21,3,VOL01337,50
22,3,VOL01172,41
23,3,VOL00279,33
24,3,VOL00233,40
25,3,VOL00143,46
26,3,VOL00133,36
27,3,VOL02888,36
28,4,VOL00412,26
29,4,VOL02254,22
30,4,VOL02225,22
31,4,VOL01337,50
32,4,VOL01172,41
33,4,VOL00279,33
34,4,VOL00233,40
35,4,VOL00143,46
36,4,VOL00133,36
37,4,VOL02888,36
38,4,VOL00998,29
39,5,VOL00412,26
40,5,VOL02254,22
41,5,VOL02225,22
42,5,VOL01337,50
43,5,VOL01172,41
44,5,VOL00279,33
45,5,VOL00233,40
46,5,VOL00143,46
47,5,VOL00133,36
48,5,VOL02888,36
49,6,VOL00412,13
50,6,VOL02254,11
51,6,VOL02225,11
52,6,VOL01337,25
53,6,VOL01172,20
54,6,VOL00279,16
55,6,VOL00233,20
56,6,VOL00143,23
57,6,VOL00133,18
58,6,VOL02888,18
59,6,VOL00998,15
60,7,VOL00412,26
61,7,VOL02254,22
62,7,VOL02225,22
63,7,VOL01337,50
64,7,VOL01172,41
65,7,VOL00279,33
66,7,VOL00233,40
67,7,VOL00143,46
68,7,VOL00133,36
69,7,VOL02888,36
70,8,VOL00412,13
71,8,VOL02254,11
72,8,VOL02225,11
73,8,VOL01337,25
74,8,VOL01172,20
75,8,VOL00279,16
76,8,VOL00233,20
77,8,VOL00143,23
78,9,VOL00412,45
79,9,VOL02254,39
80,9,VOL02225,39
81,9,VOL01337,87
82,9,VOL01172,71
83,9,VOL00279,58
84,9,VOL00389,60
85,9,VOL00233,71
86,10,VOL00412,13
87,10,VOL02254,11
88,10,VOL02225,11
89,10,VOL01337,25
90,10,VOL02918,22
91,10,VOL01172,20
92,11,VOL00412,13
93,11,VOL02254,11
94,11,VOL02225,11
95,11,VOL01337,25
96,11,VOL02918,22
97,11,VOL01172,20
98,12,VOL00412,58
99,12,VOL02254,50
100,12,VOL02225,50
101,12,VOL01337,112
102,12,VOL01172,91
103,12,VOL00279,74
104,12,VOL00233,91
105,12,VOL00143,104
106,12,VOL00133,81
107,12,VOL02888,80
108,12,VOL00998,66
109,13,VOL00412,13
110,13,VOL02254,11
111,13,VOL02225,11
112,13,VOL01337,25
113,14,VOL00412,26
114,14,VOL02254,22
115,14,VOL02225,22
116,14,VOL01337,50
117,14,VOL01172,41
118,14,VOL00279,33
119,14,VOL00233,40
120,14,VOL00143,46
121,14,VOL01066,34
122,14,VOL00133,36
123,15,VOL00412,26
124,15,VOL02254,22
125,15,VOL02225,22
126,15,VOL01337,50
127,16,VOL00412,58
128,16,VOL02254,50
129,16,VOL02225,50
130,16,VOL01337,112
131,16,VOL01172,91
132,16,VOL00279,74
133,16,VOL00389,77
134,16,VOL00233,91
135,17,VOL00412,26
136,17,VOL02254,22
137,17,VOL02225,22
138,17,VOL01337,50
139,17,VOL01172,41
140,17,VOL00279,33
141,17,VOL00233,40
142,17,VOL00143,46
143,17,VOL00133,36
144,17,VOL02888,36
145,17,VOL00998,29
146,18,VOL00412,45
147,18,VOL02254,39
148,18,VOL02225,39
149,18,VOL01337,87
150,19,VOL00412,26
151,19,VOL02254,22
152,19,VOL02225,22
153,19,VOL01337,50
154,20,VOL00412,26
155,20,VOL02254,22
156,20,VOL02225,22
157,20,VOL01337,50
158,20,VOL01172,41
159,20,VOL00279,33
160,20,VOL00389,34
161,20,VOL00233,40
162,21,VOL00412,26
163,21,VOL02254,22
164,21,VOL02225,22
165,21,VOL01337,50
166,21,VOL01172,41
167,21,VOL00279,33
168,21,VOL00233,40
169,21,VOL00143,46
170,21,VOL00133,36
171,21,VOL02888,36
172,22,VOL00412,26
173,22,VOL02254,22
174,22,VOL02225,22
175,22,VOL01337,50
176,22,VOL01172,41
177,22,VOL00279,33
178,22,VOL00389,34
179,22,VOL00233,40
180,23,VOL00412,58
181,23,VOL02254,50
182,23,VOL02225,50
183,23,VOL01337,112
184,23,VOL01172,91
185,23,VOL00279,74
186,23,VOL00233,91
187,23,VOL00143,104
188,23,VOL01066,77
189,23,VOL00133,81
190,24,VOL00412,58
191,24,VOL02254,50
192,24,VOL02225,50
193,24,VOL01337,112
194,24,VOL01172,91
195,24,VOL00279,74
196,24,VOL00389,77
197,24,VOL00233,91
198,25,VOL00412,58
199,25,VOL02254,50
200,25,VOL02225,50
201,25,VOL01337,112
202,25,VOL01172,91
203,25,VOL00279,74
204,25,VOL00233,91
205,25,VOL00143,104
206,26,VOL00412,13
207,26,VOL02254,11
208,26,VOL02225,11
209,26,VOL01337,25
210,26,VOL01172,20
211,26,VOL00279,16
212,26,VOL00233,20
213,26,VOL00143,23
214,26,VOL01066,17
215,26,VOL00133,18
216,27,VOL00412,26
217,27,VOL02254,22
218,27,VOL02225,22
219,27,VOL01337,50
220,27,VOL02918,45
221,27,VOL01172,41
222,28,VOL00412,13
223,28,VOL02254,11
224,28,VOL02225,11
225,28,VOL01337,25
226,28,VOL01172,20
227,28,VOL00279,16
228,28,VOL00389,17
229,28,VOL00233,20
230,29,VOL00412,13
231,29,VOL02254,11
232,29,VOL02225,11
233,29,VOL01337,25
234,29,VOL01172,20
235,29,VOL00279,16
236,30,VOL00412,26
237,30,VOL02254,22
238,30,VOL02225,22
239,30,VOL01337,50
240,30,VOL01172,41
241,30,VOL00279,33
242,30,VOL00233,40
243,30,VOL00143,46
244,30,VOL00133,36
245,30,VOL02888,36
246,31,VOL00412,45
247,31,VOL02254,39
248,31,VOL02225,39
249,31,VOL01337,87
250,31,VOL01172,71
