IDPromo,IDBillet,IDPromotion,TauxPromotion,DateDebut,DateFin
1,3,1,26.77,2022-06-14,2022-07-11
2,5,1,5.96,2022-06-29,2022-07-22
3,6,3,21.77,2022-07-20,2022-08-03
4,7,1,32.06,2022-06-28,2022-07-13
5,10,2,27.73,2022-06-19,2022-07-08
6,12,2,8.82,2022-06-19,2022-07-04
7,14,1,21.64,2021-11-04,2021-11-24
8,17,3,31.66,2021-12-24,2022-01-14
9,22,2,8.91,2021-11-27,2021-12-11
10,24,2,13.27,2022-02-04,2022-02-18
11,25,2,7.51,2021-12-29,2022-01-11
12,26,1,8.47,2021-11-16,2021-12-07
13,29,1,6.95,2021-11-24,2021-12-09
14,31,1,10.76,2021-12-03,2021-12-16
15,34,1,31.48,2023-05-05,2023-05-24
16,38,1,16.45,2023-06-12,2023-06-29
17,41,2,34.72,2023-05-05,2023-05-18
18,43,2,22.83,2023-06-24,2023-07-13
19,47,2,12.01,2023-02-04,2023-02-24
20,50,1,6.69,2023-02-20,2023-03-11
21,51,1,17.08,2023-03-25,2023-04-15
22,53,3,18.86,2023-03-04,2023-03-24
23,57,2,14.99,2023-02-16,2023-02-28
24,58,2,29.76,2023-04-30,2023-05-19
25,59,1,27.96,2023-02-28,2023-03-17
26,61,2,26.54,2023-04-11,2023-04-30
27,63,2,25.46,2023-03-03,2023-03-20
28,74,1,33.96,2023-02-05,2023-02-24
29,76,1,22.82,2023-02-04,2023-02-22
30,78,3,28.62,2022-09-17,2022-10-05
31,82,2,24.56,2022-08-11,2022-08-30
32,83,1,14.74,2022-08-18,2022-09-07
33,91,3,18.85,2022-06-29,2022-07-24
34,92,2,25.07,2022-05-18,2022-05-29
35,94,2,17.1,2022-06-14,2022-07-01
36,95,3,31.23,2022-06-16,2022-07-12
37,99,3,25.04,2022-06-24,2022-07-10
38,100,3,33.65,2022-05-19,2022-06-14
39,101,1,12.33,2022-06-26,2022-07-06
40,103,2,31.31,2022-06-22,2022-07-11
41,109,1,13.77,2022-04-03,2022-04-22
42,111,2,30.68,2022-04-03,2022-04-18
43,113,3,30.51,2022-03-07,2022-04-01
44,116,1,20.19,2022-03-14,2022-03-28
45,119,3,16.92,2022-04-29,2022-05-15
46,120,3,14.79,2022-04-28,2022-05-14
47,130,3,8.04,2024-03-15,2024-03-31
48,131,1,27.35,2024-02-19,2024-03-13
49,137,1,27.99,2022-01-01,2022-01-19
50,138,2,11.63,2021-12-11,2021-12-31
51,142,3,9.15,2021-12-18,2022-01-13
52,143,2,13.47,2022-02-02,2022-02-21
53,145,3,8.4,2021-12-19,2022-01-10
54,146,2,19.78,2022-01-21,2022-02-08
55,151,3,9.89,2021-11-19,2021-12-04
56,160,1,22.16,2022-03-26,2022-04-17
57,163,3,29.35,2022-06-14,2022-07-05
58,165,2,31.86,2022-04-05,2022-04-23
59,166,1,25.61,2022-03-20,2022-04-17
60,169,2,26.35,2022-05-17,2022-06-05
61,173,2,13.63,2022-04-27,2022-05-10
62,174,1,18.93,2023-03-07,2023-03-26
63,181,3,16.34,2023-02-06,2023-02-27
64,189,1,16.74,2023-01-30,2023-02-21
65,190,3,22.49,2023-03-17,2023-04-05
66,192,3,26.85,2023-03-16,2023-04-01
67,195,2,18.72,2023-01-04,2023-01-24
68,196,2,29.65,2023-03-27,2023-04-11
69,198,3,26.41,2023-02-15,2023-03-07
