IDBillet,IDClasse,Surclassement,TarifSupplementaire
2,1,True,179
3,1,False,0
4,1,False,0
5,1,False,0
6,1,True,208
7,1,False,0
8,1,True,142
9,1,True,112
10,1,False,0
12,1,False,0
13,1,False,0
14,1,False,0
15,1,False,0
16,1,True,268
17,1,False,0
18,1,False,0
19,1,False,0
20,1,True,166
21,1,False,0
22,1,False,0
23,1,False,0
24,1,False,0
25,1,False,0
26,1,True,253
27,1,False,0
28,1,False,0
29,1,False,0
31,1,False,0
32,1,False,0
34,1,False,0
36,1,False,0
37,1,False,0
38,1,False,0
39,1,True,186
40,1,True,189
41,1,False,0
42,1,False,0
43,1,False,0
44,1,False,0
45,1,False,0
46,1,True,78
47,1,False,0
48,1,False,0
50,1,False,0
51,1,False,0
52,1,False,0
53,1,True,208
54,1,False,0
55,1,False,0
56,1,False,0
57,1,False,0
58,1,False,0
59,1,True,84
60,1,False,0
62,1,False,0
63,1,False,0
64,1,False,0
65,1,False,0
66,1,False,0
67,1,False,0
68,1,False,0
69,1,True,281
72,1,False,0
73,1,False,0
74,1,False,0
75,1,False,0
76,1,False,0
79,1,False,0
80,1,False,0
82,1,False,0
83,1,True,119
86,1,False,0
87,1,False,0
88,1,False,0
89,1,False,0
90,1,True,145
91,1,False,0
92,1,False,0
93,1,False,0
94,1,False,0
95,1,False,0
96,1,False,0
98,1,False,0
100,1,True,248
101,1,False,0
102,1,False,0
103,1,False,0
104,1,False,0
105,1,False,0
107,1,False,0
109,1,True,248
110,1,False,0
112,1,True,217
113,1,False,0
114,1,False,0
115,1,False,0
116,1,True,284
118,1,False,0
119,1,True,221
120,1,True,295
122,1,True,176
123,1,False,0
124,1,False,0
125,1,False,0
126,1,False,0
127,1,False,0
128,1,False,0
129,1,False,0
130,1,False,0
131,1,False,0
132,1,False,0
133,1,False,0
135,1,False,0
136,1,False,0
137,1,False,0
140,1,False,0
143,1,True,148
144,1,False,0
145,1,False,0
147,1,True,97
148,1,False,0
149,1,True,166
150,1,False,0
151,1,False,0
152,1,False,0
153,1,False,0
154,1,False,0
155,1,True,133
156,1,True,233
157,1,False,0
158,1,True,271
159,1,False,0
161,1,False,0
164,1,False,0
165,1,False,0
166,1,False,0
167,1,False,0
170,1,False,0
171,1,False,0
172,1,True,279
173,1,False,0
174,1,False,0
175,1,True,158
176,1,False,0
177,1,True,201
178,1,False,0
179,1,False,0
180,1,False,0
181,1,False,0
182,1,False,0
184,1,True,273
185,1,False,0
186,1,False,0
187,1,False,0
188,1,False,0
189,1,False,0
190,1,False,0
191,1,False,0
192,1,False,0
194,1,False,0
195,1,False,0
196,1,False,0
199,1,False,0
200,1,False,0
201,1,False,0
202,1,False,0
203,1,False,0
206,1,False,0
207,1,False,0
209,1,False,0
210,1,False,0
213,1,False,0
214,1,False,0
215,1,True,126
216,1,False,0
217,1,False,0
218,1,True,247
220,1,True,77
221,1,False,0
222,1,False,0
223,1,False,0
224,1,False,0
226,1,True,102
227,1,False,0
228,1,False,0
229,1,False,0
230,1,False,0
231,1,False,0
233,1,False,0
234,1,False,0
235,1,False,0
236,1,False,0
237,1,False,0
238,1,False,0
240,1,False,0
241,1,False,0
242,1,True,196
243,1,False,0
244,1,False,0
245,1,False,0
246,1,True,102
247,1,False,0
249,1,False,0
252,1,False,0
254,1,False,0
255,1,False,0
256,1,False,0
257,1,False,0
258,1,False,0
260,1,False,0
261,1,True,166
262,1,False,0
